,date,format,location,title,url
75,2017-06-05T04:00:00.000Z,course,washington-dc,Product Management,http://generalassemb.ly/education/product-management/washington-dc
76,2017-06-07T20:00:00.000Z,event,washington-dc,UX Design & Data Science Student Spotlight,http://generalassemb.ly/education/ux-design-data-science-student-spotlight/washington-dc/32032
77,2017-06-12T13:00:00.000Z,immersive,washington-dc,User Experience Design Immersive,http://generalassemb.ly/education/user-experience-design-immersive/washington-dc
78,2017-06-19T04:00:00.000Z,course,washington-dc,Data Analytics,http://generalassemb.ly/education/data-analytics/washington-dc
79,2017-06-19T13:00:00.000Z,immersive,washington-dc,Data Science Immersive,http://generalassemb.ly/education/data-science-immersive/washington-dc
80,2017-06-21T20:00:00.000Z,event,washington-dc,Web Developer Student Spotlight,http://generalassemb.ly/education/web-developer-student-spotlight/washington-dc/32347
81,2017-06-26T13:00:00.000Z,immersive,washington-dc,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/washington-dc
82,2017-07-07T21:30:00.000Z,event,washington-dc,First Fridays at GA,http://generalassemb.ly/education/first-fridays-at-ga/washington-dc/33511
83,2017-08-09T20:00:00.000Z,event,washington-dc,Web Developer Student Spotlight,http://generalassemb.ly/education/web-developer-student-spotlight/washington-dc/32035
84,2017-11-08T21:00:00.000Z,event,washington-dc,Web Developer Student Spotlight,http://generalassemb.ly/education/web-developer-student-spotlight/washington-dc/32075
85,2018-02-07T21:00:00.000Z,event,washington-dc,Web Developer Student Spotlight,http://generalassemb.ly/education/web-developer-student-spotlight/washington-dc/32076
0,2017-03-10T17:00:00.000Z,event,austin,GA + SXSW Present: Business Fundamentals for Musicians,http://generalassemb.ly/education/ga-sxsw-present-business-fundamentals-for-musicians/austin/34794
1,2017-03-11T17:00:00.000Z,event-series,austin,GA + SXSW Present: Tech Fundamentals for Everyone,http://generalassemb.ly/education/ga-sxsw-present-tech-fundamentals-for-everyone/austin/34259
2,2017-03-13T21:00:00.000Z,event,austin,"UX Awards Afternoon Showcase, with Coffee & Beer!",http://generalassemb.ly/education/ux-awards-afternoon-showcase-with-coffee-beer/austin/34768
3,2017-03-20T14:00:00.000Z,immersive,austin,Data Science Immersive,http://generalassemb.ly/education/data-science-immersive/austin
4,2017-03-21T23:30:00.000Z,event,austin,Dine + Dash: Pizza and Code for Beginners,http://generalassemb.ly/education/dine-dash-pizza-and-code-for-beginners/austin/31780
5,2017-03-22T00:45:00.000Z,info-session,austin,Web Development Immersive Info Session,http://generalassemb.ly/education/web-development-immersive/austin/learn-more/6519
6,2017-03-22T00:45:00.000Z,info-session,austin,Front-End Web Development Info Session,http://generalassemb.ly/education/front-end-web-development/austin/learn-more/6518
7,2017-03-23T23:30:00.000Z,event,austin,GA + Austin Public Libraries Present - Web Development: Let's Break It Down,http://generalassemb.ly/education/ga-austin-public-libraries-present-web-development-lets-break-it-down/austin/34328
8,2017-03-25T14:00:00.000Z,workshop,austin,User Experience Design Bootcamp,http://generalassemb.ly/education/user-experience-design-bootcamp/austin/32087
9,2017-03-25T15:00:00.000Z,workshop,austin,Product Management Bootcamp,http://generalassemb.ly/education/product-management-bootcamp/austin/35189
10,2017-03-27T23:30:00.000Z,course,austin,Front-End Web Development,http://generalassemb.ly/education/front-end-web-development/austin
11,2017-03-28T00:00:00.000Z,course,austin,Product Management,http://generalassemb.ly/education/product-management/austin
12,2017-03-28T23:15:00.000Z,info-session,austin,User Experience Design Info Session,http://generalassemb.ly/education/user-experience-design/austin/learn-more/6520
13,2017-03-28T23:15:00.000Z,info-session,austin,User Experience Design Immersive Info Session,http://generalassemb.ly/education/user-experience-design-immersive/austin/learn-more/6521
14,2017-03-29T00:00:00.000Z,class,austin,UX Design 101,http://generalassemb.ly/education/ux-design-101/austin/32088
15,2017-03-29T00:00:00.000Z,course,austin,User Experience Design,http://generalassemb.ly/education/user-experience-design/austin
